t,iter,drug_c,pd_output_1,scope,scenario
4.0,40,0.0,4.13767877400263,ode_,scn1
8.0,40,0.0,4.13767877400263,ode_,scn1
12.0,40,0.0,4.13767877400263,ode_,scn1
24.0,40,0.0,4.13767877400263,ode_,scn1
48.0,40,0.0,4.13767877400263,ode_,scn1
72.0,40,0.0,4.13767877400263,ode_,scn1
120.0,40,0.0,4.13767877400263,ode_,scn1
0.0,41,0.0,4.3458806790680224,ode_,scn1
2.0,41,0.0,4.3458806790680224,ode_,scn1
4.0,41,0.0,4.3458806790680224,ode_,scn1
8.0,41,0.0,4.3458806790680224,ode_,scn1
12.0,41,0.0,4.3458806790680224,ode_,scn1
24.0,41,0.0,4.3458806790680224,ode_,scn1
48.0,41,0.0,4.3458806790680224,ode_,scn1
72.0,41,0.0,4.3458806790680224,ode_,scn1
120.0,41,0.0,4.3458806790680224,ode_,scn1
0.0,42,0.0,4.723854064366208,ode_,scn1
2.0,42,0.0,4.723854064366208,ode_,scn1
4.0,42,0.0,4.723854064366208,ode_,scn1
8.0,42,0.0,4.723854064366208,ode_,scn1
12.0,42,0.0,4.723854064366208,ode_,scn1
24.0,42,0.0,4.723854064366208,ode_,scn1
48.0,42,0.0,4.723854064366208,ode_,scn1
72.0,42,0.0,4.723854064366208,ode_,scn1
120.0,42,0.0,4.723854064366208,ode_,scn1
0.0,43,0.0,5.036144218218148,ode_,scn1
2.0,43,0.0,5.036144218218148,ode_,scn1
4.0,43,0.0,5.036144218218148,ode_,scn1
8.0,43,0.0,5.036144218218148,ode_,scn1
12.0,43,0.0,5.036144218218148,ode_,scn1
24.0,43,0.0,5.036144218218148,ode_,scn1
48.0,43,0.0,5.036144218218148,ode_,scn1
72.0,43,0.0,5.036144218218148,ode_,scn1
120.0,43,0.0,5.036144218218148,ode_,scn1
0.0,44,0.0,5.226156743416989,ode_,scn1
2.0,44,0.0,5.226156743416989,ode_,scn1
4.0,44,0.0,5.226156743416989,ode_,scn1
8.0,44,0.0,5.226156743416989,ode_,scn1
12.0,44,0.0,5.226156743416989,ode_,scn1
24.0,44,0.0,5.226156743416989,ode_,scn1
48.0,44,0.0,5.226156743416989,ode_,scn1
72.0,44,0.0,5.226156743416989,ode_,scn1
120.0,44,0.0,5.226156743416989,ode_,scn1
0.0,45,0.0,5.3658868938173985,ode_,scn1
2.0,45,0.0,5.3658868938173985,ode_,scn1
